Voltage(V),Current(A),PD Current(A),J (mA/cm2),L (cd/m2),Cur Eff (cd/A),Power Eff (lm/W),EQE(%),CIE X,CIE Y,Wav (nm),Intensity (au)
4.576,0.0001839,1.552e-10,4.597,0.005756,0.0001252,8.593e-05,0.0001322,,,396.0,3.57e-06
4.78,0.0001702,1.469e-10,4.256,0.005447,0.000128,8.408e-05,0.0001351,,,396.3,3.57e-06
4.983,0.0001703,1.35e-10,4.258,0.005006,0.0001176,7.408e-05,0.0001241,,,396.7,8.48e-06
5.186,0.0001929,1.352e-10,4.823,0.005014,0.000104,6.295e-05,0.0001097,,,397.0,3.124e-06
5.39,0.0001887,1.483e-10,4.718,0.005499,0.0001166,6.791e-05,0.000123,,,397.4,5.803e-06
5.593,0.0001958,2.014e-10,4.896,0.007472,0.0001526,8.568e-05,0.0001611,,,397.8,9.373e-06
5.797,0.0002022,2.008e-10,5.056,0.007447,0.0001473,7.979e-05,0.0001555,,,398.1,4.464e-06
6.0,0.0002103,1.59e-10,5.257,0.005899,0.0001122,5.873e-05,0.0001184,,,398.5,6.695e-06
,,,,,,,,,,398.8,5.357e-06
,,,,,,,,,,399.2,1.027e-05
,,,,,,,,,,399.5,4.016e-06
,,,,,,,,,,399.9,8.034e-06
,,,,,,,,,,400.3,9.373e-06
,,,,,,,,,,400.6,4.462e-07
,,,,,,,,,,401.0,1.384e-05
,,,,,,,,,,401.4,5.803e-06
,,,,,,,,,,401.7,1.964e-05
,,,,,,,,,,402.1,1.651e-05
,,,,,,,,,,402.4,8.925e-07
,,,,,,,,,,402.8,8.48e-06
,,,,,,,,,,403.1,2.677e-06
,,,,,,,,,,403.5,8.48e-06
,,,,,,,,,,403.9,6.249e-06
,,,,,,,,,,404.2,1.116e-05
,,,,,,,,,,404.6,8.927e-06
,,,,,,,,,,404.9,1.428e-05
,,,,,,,,,,405.3,3.57e-06
,,,,,,,,,,405.7,5.357e-06
,,,,,,,,,,406.0,1.651e-05
,,,,,,,,,,406.4,1.339e-06
,,,,,,,,,,406.7,3.57e-06
,,,,,,,,,,407.1,1.919e-05
,,,,,,,,,,407.5,2.231e-06
,,,,,,,,,,407.8,0.0
,,,,,,,,,,408.2,1.741e-05
,,,,,,,,,,408.5,1.964e-05
,,,,,,,,,,408.9,1.071e-05
,,,,,,,,,,409.2,1.205e-05
,,,,,,,,,,409.6,1.384e-05
,,,,,,,,,,410.0,4.462e-07
,,,,,,,,,,410.3,5.357e-06
,,,,,,,,,,410.7,4.016e-06
,,,,,,,,,,411.0,1.964e-05
,,,,,,,,,,411.4,5.357e-06
,,,,,,,,,,411.8,4.91e-06
,,,,,,,,,,412.1,4.462e-07
,,,,,,,,,,412.5,6.695e-06
,,,,,,,,,,412.8,5.803e-06
,,,,,,,,,,413.2,1.651e-05
,,,,,,,,,,413.5,8.927e-06
,,,,,,,,,,413.9,4.462e-07
,,,,,,,,,,414.3,5.357e-06
,,,,,,,,,,414.6,1.875e-05
,,,,,,,,,,415.0,1.071e-05
,,,,,,,,,,415.3,2.677e-06
,,,,,,,,,,415.7,1.205e-05
,,,,,,,,,,416.1,1.25e-05
,,,,,,,,,,416.4,8.48e-06
,,,,,,,,,,416.8,4.91e-06
,,,,,,,,,,417.1,5.803e-06
,,,,,,,,,,417.5,1.473e-05
,,,,,,,,,,417.9,4.016e-06
,,,,,,,,,,418.2,1.785e-06
,,,,,,,,,,418.6,9.373e-06
,,,,,,,,,,418.9,8.48e-06
,,,,,,,,,,419.3,0.0
,,,,,,,,,,419.6,1.027e-05
,,,,,,,,,,420.0,1.384e-05
,,,,,,,,,,420.4,1.339e-06
,,,,,,,,,,420.7,8.927e-06
,,,,,,,,,,421.1,7.588e-06
,,,,,,,,,,421.4,9.819e-06
,,,,,,,,,,421.8,9.819e-06
,,,,,,,,,,422.1,1.785e-06
,,,,,,,,,,422.5,7.588e-06
,,,,,,,,,,422.9,2.677e-06
,,,,,,,,,,423.2,1.428e-05
,,,,,,,,,,423.6,1.785e-06
,,,,,,,,,,423.9,3.124e-06
,,,,,,,,,,424.3,4.016e-06
,,,,,,,,,,424.6,0.0
,,,,,,,,,,425.0,4.91e-06
,,,,,,,,,,425.4,1.651e-05
,,,,,,,,,,425.7,4.464e-06
,,,,,,,,,,426.1,8.925e-07
,,,,,,,,,,426.4,7.142e-06
,,,,,,,,,,426.8,9.819e-06
,,,,,,,,,,427.1,8.925e-07
,,,,,,,,,,427.5,7.588e-06
,,,,,,,,,,427.9,4.462e-07
,,,,,,,,,,428.2,1.384e-05
,,,,,,,,,,428.6,1.518e-05
,,,,,,,,,,428.9,0.0
,,,,,,,,,,429.3,5.803e-06
,,,,,,,,,,429.6,1.875e-05
,,,,,,,,,,430.0,1.518e-05
,,,,,,,,,,430.4,4.462e-07
,,,,,,,,,,430.7,1.428e-05
,,,,,,,,,,431.1,4.016e-06
,,,,,,,,,,431.4,4.462e-07
,,,,,,,,,,431.8,1.562e-05
,,,,,,,,,,432.1,5.357e-06
,,,,,,,,,,432.5,1.339e-06
,,,,,,,,,,432.9,4.462e-07
,,,,,,,,,,433.2,4.462e-07
,,,,,,,,,,433.6,2.231e-06
,,,,,,,,,,433.9,1.25e-05
,,,,,,,,,,434.3,4.91e-06
,,,,,,,,,,434.6,2.677e-06
,,,,,,,,,,435.0,5.357e-06
